Cutoff,          Time (ns),       Variation (ns)
2,               161875801.25,    62124746.44
5,               88643616.45,     22107284.98
10,              62396111.60,     39087783.22
20,              46256903.06,     16208439.46
50,              26302902.29,     5897210.86
100,             21922846.39,     2279246.71
200,             19605780.59,     943292.31
500,             21396762.09,     541098.88
700,             21327360.99,     555439.25
1000,            30672675.41,     628299.47
2000,            53715812.39,     690611.02
10000,           220245847.51,    3360260.21
20000,           443355541.27,    4963487.81
50000,           3410199021.32,   15467121.43
70000,           3410269730.79,   8326746.63
100000,          13238398751.24,  24018638.39
