Cutoff,          Time (ns),       Variation (ns)
2,               666279362.58,    9299761890
5 ,              428997277.08,    38056035.48
10,              230490764.68,    65924152.58
20,              123533452.04,    31957166.12
50,              44831095.86,     14646797.21
100,             35434549.49,     12467720.25
200,             29482474.75,     6471829.20
500,             29040193.76,     5453027.97
700,             28762235.57,     4232504.22
1000,            43110173.95,     12144206.93
2000,            56503543.52,     2061793.97
10000,           217718376.13,    4592430.84
20000,           441804799.00,    4177843.64
50000,           3355068428.03,   167842742.22
