Cutoff,          Time (ns),       Variation (ns)
2,               165846758.33,    46463812.25
5,               94013225.00,     19582803.36
10,              53776889.82,     16261920.42
20,              39749628.64,     11918459.79
50,              26593301.86,     6111958.62
100,             22413039.99,     4439007.83
200,             19187509.64,     1148352.54
500,             16507541.37,     678482.12
700,             16819923.61,     954892.82
1000,            14065835.22,     266558.77
2000,            11850425.05,     203023.43
10000,           9579432.76,      124358.28
20000,           8221828.59,      84994.99
50000,           8387315.10,      49349.21
70000,           8380854.41,      19310.42
100000,          15456946.50,     59391.38
