Cutoff,          Time (ns),       Variation (ns)
2,               719840555.18,    131440738.15
5,               527610620.83,    138992092.98
10,              276743437.50,    99287327.25
20,              131649146.36,    29916259.01
50,              48172457.71,     25151211.14
100,             33997363.27,     11003831.79
200,             27879963.13,     6005205.44
500,             22846816.25,     4240753.42
700,             22907191.07,     4166449.68
1000,            19241090.26,     2306898.34
2000,            16301323.18,     510365.10
10000,           13256193.27,     637419.82
20000,           11453881.12,     278312.69
50000,           9633597.76,      54711.62
70000,           9727750.62,      105600.35
100000,          15735625.45,     239428.52
