algorithm,n,time,comparisons
recursive,30,0.040186405181884766,
recursive,30,0.02183818817138672,
recursive,30,0.011996984481811523,
recursive,30,0.013599157333374023,
recursive,30,0.013354301452636719,
recursive,42,0.012462139129638672,
recursive,42,0.010164499282836914,
recursive,42,0.01257467269897461,
recursive,42,0.01300358772277832,
recursive,42,0.012655973434448242,
recursive,59,0.011217832565307617,
recursive,59,0.012459039688110352,
recursive,59,0.013179779052734375,
recursive,59,0.01300048828125,
recursive,59,0.010998725891113281,
recursive,84,0.013158321380615234,
recursive,84,0.013399839401245117,
recursive,84,0.013694047927856445,
recursive,84,0.012999296188354492,
recursive,84,0.013210773468017578,
recursive,118,0.015038013458251953,
recursive,118,0.013138294219970703,
recursive,118,0.012677431106567383,
recursive,118,0.013021707534790039,
recursive,118,0.011651992797851562,
recursive,167,0.013582944869995117,
recursive,167,0.013002157211303711,
recursive,167,0.012284040451049805,
recursive,167,0.013609647750854492,
recursive,167,0.011177301406860352,
recursive,235,0.012252092361450195,
recursive,235,0.01228785514831543,
recursive,235,0.011736869812011719,
recursive,235,0.012163400650024414,
recursive,235,0.011411190032958984,
recursive,332,0.012726306915283203,
recursive,332,0.01117849349975586,
recursive,332,0.011907339096069336,
recursive,332,0.012909412384033203,
recursive,332,0.013980627059936523,
recursive,468,0.012856245040893555,
recursive,468,0.01116633415222168,
recursive,468,0.012004852294921875,
recursive,468,0.01199793815612793,
recursive,468,0.011152982711791992,
recursive,660,0.012143611907958984,
recursive,660,0.013674736022949219,
recursive,660,0.012173891067504883,
recursive,660,0.011157512664794922,
recursive,660,0.014904260635375977,
recursive,931,0.013684511184692383,
recursive,931,0.013333797454833984,
recursive,931,0.011880636215209961,
recursive,931,0.011810064315795898,
recursive,931,0.012126445770263672,
recursive,1313,0.012723684310913086,
recursive,1313,0.012931346893310547,
recursive,1313,0.01256418228149414,
recursive,1313,0.014161348342895508,
recursive,1313,0.014618396759033203,
recursive,1852,0.013314247131347656,
recursive,1852,0.013151884078979492,
recursive,1852,0.010149240493774414,
recursive,1852,0.010995864868164062,
recursive,1852,0.01406550407409668,
recursive,2611,0.013303279876708984,
recursive,2611,0.012356281280517578,
recursive,2611,0.01121664047241211,
recursive,2611,0.012669801712036133,
recursive,2611,0.011999130249023438,
recursive,3682,0.012404680252075195,
recursive,3682,0.011233091354370117,
recursive,3682,0.013692617416381836,
recursive,3682,0.013329744338989258,
recursive,3682,0.013906002044677734,
recursive,5192,0.013844966888427734,
recursive,5192,0.013359785079956055,
recursive,5192,0.010156869888305664,
recursive,5192,0.011191368103027344,
recursive,5192,0.011146068572998047,
recursive,7321,0.012982606887817383,
recursive,7321,0.014596700668334961,
recursive,7321,0.016065359115600586,
recursive,7321,0.014734506607055664,
recursive,7321,0.01943826675415039,
recursive,10323,0.016610383987426758,
recursive,10323,0.017208576202392578,
recursive,10323,0.016472578048706055,
recursive,10323,0.018146991729736328,
recursive,10323,0.01758599281311035,
recursive,14556,0.013208389282226562,
recursive,14556,0.011996030807495117,
recursive,14556,0.01246500015258789,
recursive,14556,0.014565706253051758,
recursive,14556,0.013266324996948242,
recursive,20525,0.013682365417480469,
recursive,20525,0.01412200927734375,
recursive,20525,0.013195037841796875,
recursive,20525,0.05272817611694336,
recursive,20525,0.0223386287689209,
recursive,28940,0.012174129486083984,
recursive,28940,0.012439250946044922,
recursive,28940,0.011211633682250977,
recursive,28940,0.014837980270385742,
recursive,28940,0.012251615524291992,
recursive,40805,0.013045549392700195,
recursive,40805,0.012465715408325195,
recursive,40805,0.014326095581054688,
recursive,40805,0.013210058212280273,
recursive,40805,0.01314997673034668,
recursive,57536,0.013551950454711914,
recursive,57536,0.013220071792602539,
recursive,57536,0.012094974517822266,
recursive,57536,0.010144710540771484,
recursive,57536,0.014808177947998047,
recursive,81126,0.014447689056396484,
recursive,81126,0.011905670166015625,
recursive,81126,0.013161420822143555,
recursive,81126,0.01395869255065918,
recursive,81126,0.014470100402832031,
recursive,114387,0.0181272029876709,
recursive,114387,0.013427257537841797,
recursive,114387,0.011163711547851562,
recursive,114387,0.012998104095458984,
recursive,114387,0.010669946670532227,
recursive,161286,0.01297616958618164,
recursive,161286,0.01437520980834961,
recursive,161286,0.013489246368408203,
recursive,161286,0.01574873924255371,
recursive,161286,0.014931201934814453,
recursive,227414,0.013275384902954102,
recursive,227414,0.012606620788574219,
recursive,227414,0.015575885772705078,
recursive,227414,0.012200355529785156,
recursive,227414,0.017479419708251953,
recursive,320654,0.012993812561035156,
recursive,320654,0.013527870178222656,
recursive,320654,0.013005971908569336,
recursive,320654,0.016462326049804688,
recursive,320654,0.01190805435180664,
recursive,452122,0.012346267700195312,
recursive,452122,0.013402700424194336,
recursive,452122,0.014354467391967773,
recursive,452122,0.013217449188232422,
recursive,452122,0.01549386978149414,
recursive,637493,0.019491910934448242,
recursive,637493,0.015927791595458984,
recursive,637493,0.01335763931274414,
recursive,637493,0.013393402099609375,
recursive,637493,0.01436924934387207,
