algorithm,n,time,comparisons,cutoff

iterativeMergeSort Cutoff STRINGS,30,0.002707201,284,32

iterativeMergeSort Cutoff STRINGS,30,9.7101e-05,276,32

iterativeMergeSort Cutoff STRINGS,30,3.5201e-05,245,32

iterativeMergeSort Cutoff STRINGS,42,5.01e-05,305,32

iterativeMergeSort Cutoff STRINGS,42,2.5301e-05,323,32

iterativeMergeSort Cutoff STRINGS,42,2.56e-05,335,32

iterativeMergeSort Cutoff STRINGS,59,4.12e-05,548,32

iterativeMergeSort Cutoff STRINGS,59,3.5401e-05,433,32

iterativeMergeSort Cutoff STRINGS,59,4.3099e-05,539,32

iterativeMergeSort Cutoff STRINGS,84,5.8601e-05,751,32

iterativeMergeSort Cutoff STRINGS,84,6.12e-05,799,32

iterativeMergeSort Cutoff STRINGS,84,0.0001042,821,32

iterativeMergeSort Cutoff STRINGS,118,0.000105199,1189,32

iterativeMergeSort Cutoff STRINGS,118,8.45e-05,1196,32

iterativeMergeSort Cutoff STRINGS,118,8.97e-05,1159,32

iterativeMergeSort Cutoff STRINGS,167,0.000136301,1833,32

iterativeMergeSort Cutoff STRINGS,167,0.0001336,1798,32

iterativeMergeSort Cutoff STRINGS,167,0.0001361,1831,32

iterativeMergeSort Cutoff STRINGS,235,0.0001955,2675,32

iterativeMergeSort Cutoff STRINGS,235,0.0001492,2737,32

iterativeMergeSort Cutoff STRINGS,235,0.000147599,2686,32

iterativeMergeSort Cutoff STRINGS,332,0.0002249,3983,32

iterativeMergeSort Cutoff STRINGS,332,0.0002094,3799,32

iterativeMergeSort Cutoff STRINGS,332,0.0002297,4037,32

iterativeMergeSort Cutoff STRINGS,468,0.000202,5762,32

iterativeMergeSort Cutoff STRINGS,468,0.000103,5862,32

iterativeMergeSort Cutoff STRINGS,468,0.000102,5596,32

iterativeMergeSort Cutoff STRINGS,660,0.0001467,8744,32

iterativeMergeSort Cutoff STRINGS,660,0.000150099,8370,32

iterativeMergeSort Cutoff STRINGS,660,0.0001418,8925,32

iterativeMergeSort Cutoff STRINGS,931,0.000211301,12591,32

iterativeMergeSort Cutoff STRINGS,931,0.0002139,12433,32

iterativeMergeSort Cutoff STRINGS,931,0.0002208,12611,32

iterativeMergeSort Cutoff STRINGS,1313,0.000335201,18312,32

iterativeMergeSort Cutoff STRINGS,1313,0.000307999,18783,32

iterativeMergeSort Cutoff STRINGS,1313,0.0004842,18838,32

iterativeMergeSort Cutoff STRINGS,1852,0.0004845,26581,32

iterativeMergeSort Cutoff STRINGS,1852,0.0004835,26015,32

iterativeMergeSort Cutoff STRINGS,1852,0.000614,26416,32

iterativeMergeSort Cutoff STRINGS,2611,0.0006563,39877,32

iterativeMergeSort Cutoff STRINGS,2611,0.0006159,39951,32

iterativeMergeSort Cutoff STRINGS,2611,0.000663001,39747,32

iterativeMergeSort Cutoff STRINGS,3682,0.001221699,57390,32

iterativeMergeSort Cutoff STRINGS,3682,0.0009492,57652,32

iterativeMergeSort Cutoff STRINGS,3682,0.0017615,57049,32

iterativeMergeSort Cutoff STRINGS,5192,0.0021695,84936,32

iterativeMergeSort Cutoff STRINGS,5192,0.0015764,84420,32

iterativeMergeSort Cutoff STRINGS,5192,0.0022728,83733,32

iterativeMergeSort Cutoff STRINGS,7321,0.002070901,121154,32

iterativeMergeSort Cutoff STRINGS,7321,0.0023513,120896,32

iterativeMergeSort Cutoff STRINGS,7321,0.0020891,121227,32

iterativeMergeSort Cutoff STRINGS,10323,0.0030744,177974,32

iterativeMergeSort Cutoff STRINGS,10323,0.004050599,177985,32

iterativeMergeSort Cutoff STRINGS,10323,0.0044485,178707,32

iterativeMergeSort Cutoff STRINGS,14556,0.00551,254633,32

iterativeMergeSort Cutoff STRINGS,14556,0.0040259,254638,32

iterativeMergeSort Cutoff STRINGS,14556,0.0120393,254933,32

iterativeMergeSort Cutoff STRINGS,20525,0.01989,376488,32

iterativeMergeSort Cutoff STRINGS,20525,0.0151362,376957,32

iterativeMergeSort Cutoff STRINGS,20525,0.0140043,376427,32

iterativeMergeSort Cutoff STRINGS,28940,0.0205556,535632,32

iterativeMergeSort Cutoff STRINGS,28940,0.0162649,538057,32

iterativeMergeSort Cutoff STRINGS,28940,0.008062,533936,32

iterativeMergeSort Cutoff STRINGS,40805,0.011840101,783761,32

iterativeMergeSort Cutoff STRINGS,40805,0.010495099,780840,32

iterativeMergeSort Cutoff STRINGS,40805,0.0124071,782222,32

iterativeMergeSort Cutoff STRINGS,57536,0.015936199,1122834,32

iterativeMergeSort Cutoff STRINGS,57536,0.016410599,1125029,32

iterativeMergeSort Cutoff STRINGS,57536,0.017282,1125304,32

iterativeMergeSort Cutoff STRINGS,81126,0.0274269,1640011,32

iterativeMergeSort Cutoff STRINGS,81126,0.0270519,1636267,32

iterativeMergeSort Cutoff STRINGS,81126,0.0249307,1634719,32

iterativeMergeSort Cutoff STRINGS,114387,0.0533981,2335095,32

iterativeMergeSort Cutoff STRINGS,114387,0.0506161,2333780,32

iterativeMergeSort Cutoff STRINGS,114387,0.0481941,2336499,32

iterativeMergeSort Cutoff STRINGS,161286,0.057759399,3419082,32

iterativeMergeSort Cutoff STRINGS,161286,0.0499361,3415788,32

iterativeMergeSort Cutoff STRINGS,161286,0.062063399,3414190,32

iterativeMergeSort Cutoff STRINGS,227414,0.1247976,4873056,32

iterativeMergeSort Cutoff STRINGS,227414,0.134951899,4873756,32

iterativeMergeSort Cutoff STRINGS,227414,0.1255539,4870555,32

iterativeMergeSort Cutoff STRINGS,320654,0.1583855,7113189,32

iterativeMergeSort Cutoff STRINGS,320654,0.1390379,7112422,32

iterativeMergeSort Cutoff STRINGS,320654,0.136967,7113410,32

iterativeMergeSort Cutoff STRINGS,452122,0.2140448,10139479,32

iterativeMergeSort Cutoff STRINGS,452122,0.196362901,10132536,32

iterativeMergeSort Cutoff STRINGS,452122,0.1963826,10131731,32

iterativeMergeSort Cutoff STRINGS,637493,0.3798026,14780167,32

iterativeMergeSort Cutoff STRINGS,637493,0.3588745,14772012,32

iterativeMergeSort Cutoff STRINGS,637493,0.433091599,14778419,32

iterativeMergeSort Cutoff STRINGS,898865,0.5385732,21048460,32

iterativeMergeSort Cutoff STRINGS,898865,0.629901801,21052884,32

iterativeMergeSort Cutoff STRINGS,898865,0.5307935,21043101,32

iterativeMergeSort Cutoff STRINGS,1267400,0.9352505,30664139,32

iterativeMergeSort Cutoff STRINGS,1267400,0.821525601,30652948,32

iterativeMergeSort Cutoff STRINGS,1267400,0.8450698,30667982,32

iterativeMergeSort Cutoff STRINGS,1787034,1.330248899,43660264,32

iterativeMergeSort Cutoff STRINGS,1787034,1.146682199,43651826,32

iterativeMergeSort Cutoff STRINGS,1787034,1.3305477,43659052,32

iterativeMergeSort Cutoff STRINGS,2519718,2.0817576,63502014,32

iterativeMergeSort Cutoff STRINGS,2519718,3.5118802,63512316,32

iterativeMergeSort Cutoff STRINGS,2519718,2.3272004,63505333,32

iterativeMergeSort Cutoff STRINGS,3552802,2.875182399,90350518,32

iterativeMergeSort Cutoff STRINGS,3552802,2.7945743,90361784,32

iterativeMergeSort Cutoff STRINGS,3552802,2.7673104,90378843,32

