algorithm,n,time,comparisons
recursive,30,0.20831036567687988,"112
"
recursive,30,0.10792088508605957,"107
"
recursive,30,0.12401342391967773,"114
"
recursive,30,0.12387347221374512,"105
"
recursive,30,0.12526535987854004,"113
"
recursive,42,0.12372541427612305,"167
"
recursive,42,0.1239023208618164,"178
"
recursive,42,0.12357211112976074,"178
"
recursive,42,0.12486767768859863,"178
"
recursive,42,0.10947418212890625,"178
"
recursive,59,0.10840749740600586,"274
"
recursive,59,0.11078786849975586,"281
"
recursive,59,0.10827469825744629,"276
"
recursive,59,0.1236410140991211,"279
"
recursive,59,0.10900211334228516,"269
"
recursive,84,0.1291818618774414,"419
"
recursive,84,0.10721015930175781,"423
"
recursive,84,0.12572503089904785,"424
"
recursive,84,0.1251671314239502,"437
"
recursive,84,0.1252288818359375,"442
"
recursive,118,0.1214144229888916,"653
"
recursive,118,0.1292722225189209,"667
"
recursive,118,0.14087367057800293,"670
"
recursive,118,0.10535120964050293,"661
"
recursive,118,0.10940432548522949,"664
"
recursive,167,0.11031246185302734,"1024
"
recursive,167,0.1093449592590332,"1032
"
recursive,167,0.10844683647155762,"1037
"
recursive,167,0.12512516975402832,"1021
"
recursive,167,0.10684728622436523,"1015
"
recursive,235,0.1239619255065918,"1564
"
recursive,235,0.13377666473388672,"1561
"
recursive,235,0.12506651878356934,"1551
"
recursive,235,0.1265547275543213,"1549
"
recursive,235,0.12285280227661133,"1562
"
recursive,332,0.14084792137145996,"2368
"
recursive,332,0.14144682884216309,"2372
"
recursive,332,0.15707135200500488,"2379
"
recursive,332,0.12100720405578613,"2361
"
recursive,332,0.14294910430908203,"2365
"
recursive,468,0.16095399856567383,"3561
"
recursive,468,0.1559314727783203,"3577
"
recursive,468,0.1545867919921875,"3590
"
recursive,468,0.13836121559143066,"3570
"
recursive,468,0.1223454475402832,"3554
"
recursive,660,0.14085769653320312,"5357
"
recursive,660,0.14419054985046387,"5365
"
recursive,660,0.1557927131652832,"5354
"
recursive,660,0.15414977073669434,"5357
"
recursive,660,0.15540719032287598,"5359
"
recursive,931,0.15564227104187012,"7992
"
recursive,931,0.15795087814331055,"8022
"
recursive,931,0.15329313278198242,"7986
"
recursive,931,0.17011141777038574,"8018
"
recursive,931,0.1562182903289795,"7987
"
recursive,1313,0.15346145629882812,"11994
"
recursive,1313,0.15571951866149902,"11996
"
recursive,1313,0.15882349014282227,"11964
"
recursive,1313,0.1491682529449463,"12001
"
recursive,1313,0.15500617027282715,"12004
"
recursive,1852,0.15577960014343262,"17755
"
recursive,1852,0.16776609420776367,"17790
"
recursive,1852,0.15614914894104004,"17818
"
recursive,1852,0.1737978458404541,"17808
"
recursive,1852,0.15467596054077148,"17801
"
recursive,2611,0.17573094367980957,"26443
"
recursive,2611,0.16867327690124512,"26468
"
recursive,2611,0.16945099830627441,"26445
"
recursive,2611,0.1714315414428711,"26425
"
recursive,2611,0.17074275016784668,"26361
"
recursive,3682,0.1716768741607666,"38991
"
recursive,3682,0.16466879844665527,"39058
"
recursive,3682,0.16056299209594727,"39073
"
recursive,3682,0.16994333267211914,"38992
"
recursive,3682,0.16752386093139648,"39072
"
recursive,5192,0.18573451042175293,"57724
"
recursive,5192,0.15504097938537598,"57571
"
recursive,5192,0.17315983772277832,"57690
"
recursive,5192,0.16785144805908203,"57681
"
recursive,5192,0.18834209442138672,"57626
"
recursive,7321,0.18314290046691895,"84774
"
recursive,7321,0.19971871376037598,"84901
"
recursive,7321,0.16733765602111816,"84792
"
recursive,7321,0.18686938285827637,"84770
"
