algorithm,n,time,comparisons
recursiveMergeSort,1300,0.17314600944519043,"11841
"
recursiveMergeSort,1300,0.22487139701843262,"11840
"
recursiveMergeSort,1300,0.1664133071899414,"11846
"
recursiveMergeSort,1300,0.1732032299041748,"11809
"
recursiveMergeSort,1300,0.15829706192016602,"11826
"
recursiveMergeSort,1781,0.1533358097076416,"16945
"
recursiveMergeSort,1781,0.17655730247497559,"16982
"
recursiveMergeSort,1781,0.18519258499145508,"17008
"
recursiveMergeSort,1781,0.1850144863128662,"16989
"
recursiveMergeSort,1781,0.20950603485107422,"17002
"
recursiveMergeSort,2439,0.30500245094299316,"24421
"
recursiveMergeSort,2439,0.28086256980895996,"24413
"
recursiveMergeSort,2439,0.3212244510650635,"24420
"
recursiveMergeSort,2439,0.19061040878295898,"24373
"
recursiveMergeSort,2439,0.2437891960144043,"24402
"
recursiveMergeSort,3342,0.25226616859436035,"35029
"
recursiveMergeSort,3342,0.2753729820251465,"34955
"
recursiveMergeSort,3342,0.29883766174316406,"34971
"
recursiveMergeSort,3342,0.31322717666625977,"34945
"
recursiveMergeSort,3342,0.23797893524169922,"34983
"
recursiveMergeSort,4579,0.40242743492126465,"49931
"
recursiveMergeSort,4579,0.38181257247924805,"50098
"
recursiveMergeSort,4579,0.43883395195007324,"49932
"
recursiveMergeSort,4579,0.8496761322021484,"50081
"
recursiveMergeSort,4579,0.3211522102355957,"49966
"
recursiveMergeSort,6274,0.46956682205200195,"71365
"
recursiveMergeSort,6274,0.3327317237854004,"71355
"
recursiveMergeSort,6274,0.3052096366882324,"71342
"
recursiveMergeSort,6274,0.24590015411376953,"71392
"
recursiveMergeSort,6274,0.22504568099975586,"71338
"
recursiveMergeSort,8595,0.2315535545349121,"101544
"
recursiveMergeSort,8595,0.21790218353271484,"101538
"
recursiveMergeSort,8595,0.236588716506958,"101455
"
recursiveMergeSort,8595,0.2308194637298584,"101618
"
recursiveMergeSort,8595,0.21389222145080566,"101488
"
recursiveMergeSort,11775,0.25969576835632324,"144519
"
recursiveMergeSort,11775,0.23284482955932617,"144608
"
recursiveMergeSort,11775,0.24848437309265137,"144587
"
recursiveMergeSort,11775,0.24527645111083984,"144708
"
recursiveMergeSort,11775,0.23096323013305664,"144586
"
recursiveMergeSort,16132,0.2763702869415283,"205246
"
recursiveMergeSort,16132,0.24501705169677734,"205198
"
recursiveMergeSort,16132,0.24618840217590332,"205089
"
recursiveMergeSort,16132,0.23460793495178223,"205022
"
recursiveMergeSort,16132,0.21076345443725586,"205187
"
recursiveMergeSort,22101,0.29050636291503906,"291550
"
recursiveMergeSort,22101,0.24312472343444824,"291677
"
recursiveMergeSort,22101,0.24548006057739258,"291599
"
recursiveMergeSort,22101,0.23658537864685059,"291403
"
recursiveMergeSort,22101,0.21275115013122559,"291425
"
recursiveMergeSort,30279,0.24953103065490723,"412694
"
recursiveMergeSort,30279,0.26418089866638184,"412732
"
recursiveMergeSort,30279,0.2732117176055908,"412742
"
recursiveMergeSort,30279,0.26814961433410645,"412710
"
recursiveMergeSort,30279,0.24678635597229004,"412711
"
recursiveMergeSort,41482,0.2774171829223633,"584722
"
recursiveMergeSort,41482,0.27780961990356445,"584613
"
recursiveMergeSort,41482,0.28130435943603516,"584778
"
recursiveMergeSort,41482,0.2758443355560303,"584665
"
recursiveMergeSort,41482,0.25289416313171387,"584729
"
recursiveMergeSort,56831,0.33388710021972656,"826400
"
recursiveMergeSort,56831,0.331099271774292,"826524
"
recursiveMergeSort,56831,0.3604869842529297,"826560
"
recursiveMergeSort,56831,0.3355371952056885,"826389
"
recursiveMergeSort,56831,0.33745503425598145,"826807
"
recursiveMergeSort,77859,0.3517568111419678,"1168238
"
recursiveMergeSort,77859,0.35752439498901367,"1168253
"
recursiveMergeSort,77859,0.333951473236084,"1168010
"
recursiveMergeSort,77859,0.3535623550415039,"1168192
"
recursiveMergeSort,77859,0.3426501750946045,"1168207
"
recursiveMergeSort,106667,0.4941751956939697,"1648735
"
recursiveMergeSort,106667,0.5311312675476074,"1648796
"
recursiveMergeSort,106667,0.4773528575897217,"1648923
"
recursiveMergeSort,106667,0.4644031524658203,"1649017
"
recursiveMergeSort,106667,0.4606478214263916,"1648314
"
recursiveMergeSort,146134,0.7591466903686523,"2324823
"
recursiveMergeSort,146134,0.8122014999389648,"2324983
"
recursiveMergeSort,146134,0.7362349033355713,"2325187
"
recursiveMergeSort,146134,0.8701858520507812,"2324770
"
recursiveMergeSort,146134,0.5352699756622314,"2325023
"
recursiveMergeSort,200203,0.6831388473510742,"3276612
"
recursiveMergeSort,200203,0.6481266021728516,"3276879
"
recursiveMergeSort,200203,0.6114671230316162,"3276169
"
recursiveMergeSort,200203,0.592125654220581,"3276103
"
recursiveMergeSort,200203,0.5632593631744385,"3276196
"
recursiveMergeSort,274279,0.8510651588439941,"4610487
"
recursiveMergeSort,274279,0.6994462013244629,"4610810
"
recursiveMergeSort,274279,0.7252392768859863,"4610676
"
recursiveMergeSort,274279,1.1097276210784912,"4610773
"
recursiveMergeSort,274279,0.945817232131958,"4610593
"
recursiveMergeSort,375762,0.9767246246337891,"6492083
"
recursiveMergeSort,375762,1.1487512588500977,"6491565
"
recursiveMergeSort,375762,0.8432576656341553,"6492054
"
recursiveMergeSort,375762,1.2032899856567383,"6491962
"
recursiveMergeSort,375762,1.2392387390136719,"6491485
"
recursiveMergeSort,514794,2.2397727966308594,"9118391
"
recursiveMergeSort,514794,1.3965003490447998,"9118020
"
recursiveMergeSort,514794,2.286071538925171,"9117999
"
recursiveMergeSort,514794,2.0066559314727783,"9118767
"
recursiveMergeSort,514794,1.6072273254394531,"9117945
"
recursiveMergeSort,705268,1.8340466022491455,"12826653
"
recursiveMergeSort,705268,1.2649116516113281,"12826511
"
recursiveMergeSort,705268,1.4377923011779785,"12826927
"
recursiveMergeSort,705268,1.2900023460388184,"12827335
"
recursiveMergeSort,705268,1.7778520584106445,"12826305
"
recursiveMergeSort,966218,1.712172269821167,"17998682
"
recursiveMergeSort,966218,2.2637128829956055,"17999273
"
recursiveMergeSort,966218,1.9038188457489014,"17999196
"
recursiveMergeSort,966218,1.5943377017974854,"17999575
"
recursiveMergeSort,966218,1.8356523513793945,"17998712
"
recursiveMergeSort,1323719,2.289525032043457,"25275361
"
recursiveMergeSort,1323719,2.3335213661193848,"25274369
"
recursiveMergeSort,1323719,2.368607997894287,"25274863
"
recursiveMergeSort,1323719,2.329921007156372,"25274716
"
recursiveMergeSort,1323719,2.0303690433502197,"25275245
"
recursiveMergeSort,1813495,3.0315186977386475,"35438889
"
recursiveMergeSort,1813495,2.8731632232666016,"35439683
"
recursiveMergeSort,1813495,2.977450370788574,"35438699
"
recursiveMergeSort,1813495,2.8019137382507324,"35438515
"
recursiveMergeSort,1813495,3.2287299633026123,"35437868
"
recursiveMergeSort,2484488,3.5864975452423096,"49691478
"
recursiveMergeSort,2484488,3.8965885639190674,"49691215
"
recursiveMergeSort,2484488,3.769294023513794,"49691873
"
recursiveMergeSort,2484488,3.585299253463745,"49691896
"
recursiveMergeSort,2484488,3.7430830001831055,"49692278
"
